Section,Figure,Figure Item,Part Number,Type,Specifics
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",1,06E19769-0.63,GASKET, 5/8 I.D. annular
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",2,62417,PLUG, Oil cooler bypass
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",3,69675,CONNECTOR, Accessory housing oil cooler
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",4,STD-784,PLUG," 3/8-18 NPT, allen head"
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",5,AN844-10D,ELBOW, Pipe
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",6,71140,FITTING, Breather
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",7,62817,SCREEN ASSEMBLY, Oil pressure
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",8,61173,GASKET, Oil pressure housing
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",9,69510,HOUSING, Oil pressure screen
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",10,06E19769-0.63,GASKET, 5/8 I.D. annular
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",11,STD-8,WASHER, 1/4 plain
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",12,LW-25-1.00,BOLT," 1/4-20 x 1.00 long, hex. head"
Accessory Drives,"Oil Cooler Bypass Valve, Oil Pressure Screen And Breather Fitting",13,STD-160,WASHER," 1/4 lock, internal teeth"
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",1,69551,GASKET, Accessory drive adapter
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",2,69106,COVER, Governor drive adapter pad
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",3,STD-35,WASHER, 5/16 plain
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",4,STD-475,WASHER," 5/16 lock, internal teeth"
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",5,STD-1410,NUT, 5/16-18 plain
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",6,STD-783,PLUG," 1/4-18 NPT, allen head"
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",7,61183,GASKET, Accessory adapter
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",8,61098,ADAPTER ASSEMBLY, Vacuum pump
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",9,STD-1774,PIN, 1/8 diameter x 1/4 long
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",10,06A19956,OIL SEAL, 7/8 I.D. x 1-1/2 O.D. x 5/16 wide
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",11,72970,GEAR ASSEMBLY, Vacuum pump driven
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",12,71596,WASHER, Accessory drive gear
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",13,8313,GASKET, Vacuum pump
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",14,60430,COVER, Vacuum pump
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",15,STD-8,WASHER, 1/4 plain
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",16,STD-160,WASHER," 1/4 lock, internal teeth"
Accessory Drives,"Propeller Governor Drive Cover, Vacuum Pump Drive And Cover",17,STD-1411,NUT, 1/4-20 plain
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,1,06B23862,GASKET, Oil filter adapter
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,2,77852,OIL FILTER BASE ASSEMBLY,
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,3,LW-13215,OIL FILTER, Short
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,4,STD-8,WASHER, 1/4 plain
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,5,STD-160,WASHER," 1/4 lock, internal teeth"
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,6,STD-1411,NUT, 1/4-20 plain
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,7,LW-25-1.00,BOLT," 1/4-20 x 1.00 long, hex. head"
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,8,53E22144,VALVE ASSEMBLY, Temperature control oil cooler bypass
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,9,76510,GASKET, Valve assembly
Accessory Drives,Oil Filter Assembly And Oil Cooler Bypass Valve,10,25C-10,STUD, 1/4-20 x 1-1/4 long
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,1,78531,BODY ASSEMBLY, Oil pump
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,2,61174,SHAFT, Oil pump drive
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,3,05K19423-S,IMPELLER KIT,
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,4,LW-18110,IMPELLER ASSEMBLY, Oil pump driven
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,5,LW-18109,IMPELLER, Oil pump driven
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,6,STD-35,WASHER, 5/16 plain
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,7,STD-1420,NUT, 5/16-18 slotted
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,8,LW-14260,SEAL," Oil, tachometer drive"
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,9,STD-8,WASHER, 1/4 plain
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,10,STD-160,WASHER," 1/4 lock, internal teeth"
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,11,LW-25-0.94,BOLT," 1/4-20 x 15/16 long, hex. head"
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,12,LW-25-1.13,BOLT," 1/4-20 x 1-1/8 long, hex. head"
Accessory Drives,Oil Pump Assembly And Accessory Housing Attaching Parts,13,LW-25-1.44,BOLT," 1/4-20 x 1-7/16 long, hex. head"
Accessory Drives,Fuel Pump Assembly And Attaching Parts,1,60096,GASKET, Fuel pump
Accessory Drives,Fuel Pump Assembly And Attaching Parts,2,LW-15472,FUEL PUMP," Dual diaphragm, low pressure"
Accessory Drives,Fuel Pump Assembly And Attaching Parts,3,STD-33,WASHER, 3/8 plain
Accessory Drives,Fuel Pump Assembly And Attaching Parts,4,STD-1882,SCREW," 3/8-16 x 1-9/32 long, socket head, drilled"
Accessory Drives,Fuel Pump Assembly And Attaching Parts,5,60096,GASKET, Fuel pump
Accessory Drives,Fuel Pump Assembly And Attaching Parts,6,03D23350,COVER, Fuel pump
Accessory Drives,Fuel Pump Assembly And Attaching Parts,7,STD-33,WASHER, 3/8 plain
Accessory Drives,Fuel Pump Assembly And Attaching Parts,8,LW-38-0.75,BOLT," 3/8-16 x 3/4 long, hex. head"
Accessory Drives,Accessory Housing Assembly,1,73818,GASKET, Accessory housing
Accessory Drives,Accessory Housing Assembly,2,21A21533-04,HOUSING ASSEMBLY, Accessory
Accessory Drives,Accessory Housing Assembly,3,25C-22,STUD, 1/4-20 x 2-3/4 long
Accessory Drives,Accessory Housing Assembly,4,31C-12,STUD, 5/16-18 x 1-1/2 long
Accessory Drives,Accessory Housing Assembly,5,31CD-17,STUD," 5/16-18 x 2-1/8 long, drilled"
Accessory Drives,Accessory Housing Assembly,6,31C-19,STUD, 5/16-18 x 2-3/8 long
Accessory Drives,Accessory Housing Assembly,7,1102,PLUG," 1/8-27 NPT, allen head"
Accessory Drives,Accessory Housing Assembly,8,STD-784,PLUG," 3/8-18 NPT, allen head"
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",1,61665,GEAR," Magneto, impulse"
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",2,68C19622,GEAR, Magneto
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",3,62224,GASKET, Magneto adapter
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",4,LW-12706,ADAPTER," Magneto, impulse coupling"
Ignition Distribution System,"Magnetos, Magneto Drives, Harnesses And Spark Plugs",5,66B21778,MAGNETO, Impulse coupling V S4LC-204
